RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
18688066.5	15:00:43:270	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1527.9	505.8	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688074.9	15:00:43:278	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1444.1	555	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688083.2	15:00:43:287	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1276.8	643.8	-	0.3	0.2	-0.9	-	-	-	-	-	-	-	-
18688091.5	15:00:43:295	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1384	593.1	-	0.3	0.2	-0.9	-	-	-	-	-	-	-	-
18688108.2	15:00:43:312	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1422.8	560.3	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688116.5	15:00:43:320	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1561.5	497.2	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688124.9	15:00:43:328	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1536.7	502.6	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688133.2	15:00:43:337	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1465	540	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688141.6	15:00:43:345	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1483	536.2	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688149.9	15:00:43:353	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1431.3	577.8	-	0.4	0.2	-0.9	-	-	-	-	-	-	-	-
18688158.2	15:00:43:362	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1465	557.6	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688166.6	15:00:43:370	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1483.5	530.2	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688175	15:00:43:378	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1381.5	590.8	-	0.3	0.2	-0.9	-	-	-	-	-	-	-	-
18688183.2	15:00:43:387	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1267.7	637	-	0.3	0.2	-0.9	-	-	-	-	-	-	-	-
18688191.6	15:00:43:395	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1417.7	563.3	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688200	15:00:43:403	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1436.2	551.7	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688208.3	15:00:43:412	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1567.9	497.2	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688216.6	15:00:43:420	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1578.5	480.8	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
