ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[1]Hit	AOI[2]Hit	AOI[3]Hit	AOI[4]Hit	AOI[ 5]Hit	AOI[ 6]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									746	11:16:28.399	1167615521724870																	3	Saccade	32			-1	-1	-1	-1	-1	-1	23	1769	507	1889	391	1829	449	1829	449	223.26	72.28	238.31	86.92	230.79	79.60	163.23	254.53	563.56	219.92	253.49	560.72					608.96	608.96	3.51	3.46	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									778	11:16:28.431	1167615521756877																		Unclassified	489			-1	-1	-1	-1	-1	-1	24																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									811	11:16:28.464	1167615521790000																		Unclassified	489			-1	-1	-1	-1	-1	-1	25																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									844	11:16:28.498	1167615521823573																		Unclassified	489			-1	-1	-1	-1	-1	-1	26																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									878	11:16:28.531	1167615521856915																		Unclassified	489			-1	-1	-1	-1	-1	-1	27																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									905	11:16:28.558	1167615521883800																		Unclassified	489			-1	-1	-1	-1	-1	-1	28																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									931	11:16:28.585	1167615521910552																		Unclassified	489			-1	-1	-1	-1	-1	-1	29																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									959	11:16:28.612	1167615521937724																		Unclassified	489			-1	-1	-1	-1	-1	-1	30																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									987	11:16:28.640	1167615521965969																		Unclassified	489			-1	-1	-1	-1	-1	-1	31																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1016	11:16:28.670	1167615521995385																		Unclassified	489			-1	-1	-1	-1	-1	-1	32																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1047	11:16:28.701	1167615522026070																		Unclassified	489			-1	-1	-1	-1	-1	-1	33																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1078	11:16:28.732	1167615522057210																		Unclassified	489			-1	-1	-1	-1	-1	-1	34																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1109	11:16:28.763	1167615522088328																		Unclassified	489			-1	-1	-1	-1	-1	-1	35																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1140	11:16:28.794	1167615522119444																		Unclassified	489			-1	-1	-1	-1	-1	-1	36																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1171	11:16:28.825	1167615522150545																		Unclassified	489			-1	-1	-1	-1	-1	-1	37																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1202	11:16:28.856	1167615522181627																		Unclassified	489			-1	-1	-1	-1	-1	-1	38																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1237	11:16:28.891	1167615522216067																		Unclassified	489			-1	-1	-1	-1	-1	-1	39																			-8.38										4	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1265	11:16:28.918	1167615522243918																		Unclassified	32			-1	-1	-1	-1	-1	-1	40	1369	249	1448	216	1408	232	1408	232	172.74	104.89	182.68	108.99	177.71	106.94	195.66	266.43	565.21	250.11	259.03	578.25					618.69	618.69	3.73	3.85	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1300	11:16:28.954	1167615522279296																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	41	1396	257	1442	219	1419	238	1419	238	176.12	103.90	181.96	108.58	179.04	106.24	194.69	265.88	565.45	249.71	259.30	578.22					618.54	618.54	3.75	3.98	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1336	11:16:28.989	1167615522314944																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	42	1392	275	1421	256	1406	265	1406	265	175.69	101.56	179.23	104.01	177.46	102.79	194.05	265.45	565.85	249.46	259.40	578.24					618.63	618.63	3.82	3.86	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1367	11:16:29.021	1167615522346189																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	43	1400	278	1410	226	1405	252	1405	252	176.62	101.14	177.85	107.79	177.24	104.46	193.61	264.90	566.07	249.29	259.29	578.33					618.53	618.53	3.86	4.02	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1404	11:16:29.058	1167615522383165																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	44	1307	278	1366	292	1336	285	1336	285	164.89	101.22	172.35	99.45	168.62	100.33	193.09	264.33	566.47	248.99	259.26	578.43					618.58	618.58	3.88	3.94	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1437	11:16:29.091	1167615522416122																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	45	1277	326	1302	267	1289	296	1289	296	161.06	95.09	164.32	102.55	162.69	98.82	192.60	263.87	566.81	248.67	259.29	578.54					618.62	618.62	3.98	4.11	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1471	11:16:29.124	1167615522449732																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	46	1246	391	1236	339	1241	365	1241	365	157.27	86.96	155.99	93.46	156.63	90.21	192.14	263.50	567.07	248.41	259.34	578.62					618.64	618.64	3.95	4.11	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1505	11:16:29.159	1167615522484370																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	47	1307	400	1240	352	1273	376	1273	376	164.96	85.85	156.43	91.86	160.70	88.85	191.73	263.09	567.27	248.15	259.27	578.76					618.59	618.59	4.00	3.98	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1539	11:16:29.193	1167615522518440																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	48	1256	384	1240	353	1248	368	1248	368	158.46	87.77	156.50	91.68	157.48	89.73	191.52	262.80	567.73	248.00	258.99	578.96					618.85	618.85	3.97	3.95	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1578	11:16:29.232	1167615522557155																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	49	1298	383			1298	383	1298	383	163.75	87.94					191.53	262.33	568.00		-8.38						618.89		3.89		0	4				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1617	11:16:29.271	1167615522596149																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	50	1344	411	1292	374	1318	392	1318	392	169.61	84.47	163.04	89.04	166.33	86.76	191.63	262.00	568.20	247.58	255.54	574.71					618.93	618.93	3.88	3.96	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1656	11:16:29.310	1167615522635358																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	51	1346	381	1299	371	1322	376	1322	376	169.86	88.25	163.86	89.46	166.86	88.85	191.78	261.79	568.52	247.67	255.03	574.97					619.14	619.14	3.83	3.78	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1699	11:16:29.352	1167615522677672																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	52	1334	369	1299	377	1316	373	1316	373	168.29	89.65	163.89	88.74	166.09	89.20	191.84	261.51	568.71	247.71	254.65	575.19					619.20	619.20	3.79	3.94	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1742	11:16:29.396	1167615522721143																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	53	1336	390	1321	362	1328	376	1328	376	168.58	87.08	166.62	90.64	167.60	88.86	191.75	261.16	568.75	247.66	254.37	575.38					619.07	619.07	3.73	3.88	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1780	11:16:29.434	1167615522759290																4		Fixation	517	1323	336	-1	-1	-1	-1	-1	-1	54	1332	358	1333	378	1332	368	1332	368	168.00	91.05	168.14	88.63	168.07	89.84	191.60	260.94	568.86	247.61	254.21	575.50					619.06	619.06	3.73	3.74	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1819	11:16:29.472	1167615522797640																	4	Saccade	80			-1	-1	-1	-1	-1	-1	55	1091	431	1116	409	1103	420	1103	420	137.62	81.83	140.78	84.69	139.20	83.26	191.34	260.74	568.99	247.34	254.09	575.63					619.06	619.06	3.72	3.72	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1859	11:16:29.513	1167615522838278																	4	Saccade	80			-1	-1	-1	-1	-1	-1	56	901	386	899	343	900	364	900	364	113.71	87.57	113.48	92.96	113.60	90.26	190.91	260.62	569.10	246.97	254.01	575.76					619.06	619.06	3.65	3.78	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1900	11:16:29.553	1167615522878780																5		Fixation	226	894	390	-1	-1	-1	-1	-1	-1	57	892	424	902	355	897	389	897	389	112.59	82.79	113.85	91.48	113.22	87.14	190.83	260.54	569.16	246.98	253.84	575.90					619.07	619.07	3.60	3.80	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1936	11:16:29.590	1167615522915206																5		Fixation	226	894	390	-1	-1	-1	-1	-1	-1	58	838	392	895	349	866	370	866	370	105.77	86.77	112.90	92.28	109.33	89.52	190.92	260.53	569.16	247.13	253.64	576.04					619.07	619.07	3.62	3.78	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter	Screen Recordings (1)	0	0	1920	1080									1973	11:16:29.627	1167615522952200																5		Fixation	226	894	390	-1	-1	-1	-1	-1	-1	59	841	397	887	360	864	378	864	378	106.16	86.15	111.93	90.84	109.05	88.50	191.20	260.52	569.13	247.44	253.42	576.18					619.07	619.07	3.61	3.78	0	0				
